experiment_id,name,start_time,end_time,sleepstage,signal_type,population_size,generations,crossover_prob,mutation_prob,selection_tournament_size,elitism,hall_of_fame_members,max_number_of_mutations,data_split_training,data_split_testing,base_batch_size,learning_rate,epoch,min_kernel_size,max_kernel_size,number_of_branches_range,number_of_kernels_range,dataset_name,max_memory,fitness_function,minimize_fitness,best,second_best,third_best
10,ModelDictTestIII --batch-size 32 --lr 0.0005 --min-ks 1 --max-ks 15 --pop-size 3 --generations 1 --st-size 3 --hof-size 3 --cx-prob 0.5 --mut-prob 0.5 --sleep-stage wake --signal EEG_Fpz-Cz --dataset sleep-EDF-20 --max-mem 512 --log-id O --log-all,2025-07-23 11:44:21.956082,2025-07-23 11:44:26.901914,wake,EOG_horizontal,3,1,0.5,0.5,3,1,3,3,0.7,0.3,32,0.0005,1,1,15,"(1, 3)","(2, 4)",sleep-EDF-20,512,train_loss,True,"1. Branches=[[8, 2, 9, 5]], Fitness=0.6093","2. Branches=[[2, 13, 2, 13]], Fitness=0.6324","3. Branches=[[1, 10], [12, 6, 6]], Fitness=0.6532"
11,ModelDictTestIII --batch-size 32 --lr 0.0005 --min-ks 1 --max-ks 15 --pop-size 3 --generations 1 --st-size 3 --hof-size 3 --cx-prob 0.5 --mut-prob 0.5 --sleep-stage wake --signal EEG_Fpz-Cz --dataset sleep-EDF-20 --max-mem 512 --log-id O --log-all,2025-07-23 11:44:28.386542,2025-07-23 11:44:34.718731,N1,EOG_horizontal,3,1,0.5,0.5,3,1,3,3,0.7,0.3,32,0.0005,1,1,15,"(1, 3)","(2, 4)",sleep-EDF-20,512,train_loss,True,"1. Branches=[[3, 12, 12], [4, 4, 15], [12, 7, 9]], Fitness=1.1437","2. Branches=[[6, 9], [10, 6, 7], [11, 3, 8, 9]], Fitness=1.1761","3. Branches=[[5, 14]], Fitness=1.3208"
12,ModelDictTestIII --batch-size 32 --lr 0.0005 --min-ks 1 --max-ks 15 --pop-size 3 --generations 1 --st-size 3 --hof-size 3 --cx-prob 0.5 --mut-prob 0.5 --sleep-stage wake --signal EEG_Fpz-Cz --dataset sleep-EDF-20 --max-mem 512 --log-id O --log-all,2025-07-23 11:44:36.102084,2025-07-23 11:44:43.757116,N2,EOG_horizontal,3,1,0.5,0.5,3,1,3,3,0.7,0.3,32,0.0005,1,1,15,"(1, 3)","(2, 4)",sleep-EDF-20,512,train_loss,True,"1. Branches=[[12, 6, 11], [15, 8, 3]], Fitness=0.5721","2. Branches=[[14, 5, 9], [1, 11], [1, 3, 10, 6]], Fitness=0.5753","3. Branches=[[3, 13, 13, 3], [15, 9]], Fitness=0.5867"
13,ModelDictTestIII --batch-size 32 --lr 0.0005 --min-ks 1 --max-ks 15 --pop-size 3 --generations 1 --st-size 3 --hof-size 3 --cx-prob 0.5 --mut-prob 0.5 --sleep-stage wake --signal EEG_Fpz-Cz --dataset sleep-EDF-20 --max-mem 512 --log-id O --log-all,2025-07-23 11:44:45.672569,2025-07-23 11:44:58.726269,N3,EOG_horizontal,3,1,0.5,0.5,3,1,3,3,0.7,0.3,32,0.0005,1,1,15,"(1, 3)","(2, 4)",sleep-EDF-20,512,train_loss,True,"1. Branches=[[9, 10, 12], [10, 11, 13, 2]], Fitness=0.5542","2. Branches=[[14, 3, 9, 10], [1, 5], [12, 5]], Fitness=0.6299","3. Branches=[[10, 10, 12]], Fitness=0.6300"
14,ModelDictTestIII --batch-size 32 --lr 0.0005 --min-ks 1 --max-ks 15 --pop-size 3 --generations 1 --st-size 3 --hof-size 3 --cx-prob 0.5 --mut-prob 0.5 --sleep-stage wake --signal EEG_Fpz-Cz --dataset sleep-EDF-20 --max-mem 512 --log-id O --log-all,2025-07-23 11:45:04.410709,2025-07-23 11:45:25.790945,REM,EOG_horizontal,3,1,0.5,0.5,3,1,3,3,0.7,0.3,32,0.0005,1,1,15,"(1, 3)","(2, 4)",sleep-EDF-20,512,train_loss,True,"1. Branches=[[6, 5, 14], [10, 8, 8, 2]], Fitness=0.8145","2. Branches=[[15, 15, 9, 2]], Fitness=0.8167","3. Branches=[[6, 5, 14]], Fitness=0.8624"
15,ModelDictTestIII --batch-size 32 --lr 0.0005 --min-ks 1 --max-ks 15 --pop-size 3 --generations 1 --st-size 3 --hof-size 3 --cx-prob 0.5 --mut-prob 0.5 --sleep-stage wake --signal EEG_Fpz-Cz --dataset sleep-EDF-20 --max-mem 512 --log-id O --log-all,2025-07-23 11:45:26.552987,2025-07-23 11:45:30.709781,wake,EMG_submental,3,1,0.5,0.5,3,1,3,3,0.7,0.3,32,0.0005,1,1,15,"(1, 3)","(2, 4)",sleep-EDF-20,512,train_loss,True,"1. Branches=[[10, 12, 15, 7]], Fitness=0.8314","2. Branches=[[10, 12, 15, 7], [6, 2]], Fitness=0.8377","3. Branches=[[12, 1, 1]], Fitness=0.8397"
16,ModelDictTestIII --batch-size 32 --lr 0.0005 --min-ks 1 --max-ks 15 --pop-size 3 --generations 1 --st-size 3 --hof-size 3 --cx-prob 0.5 --mut-prob 0.5 --sleep-stage wake --signal EEG_Fpz-Cz --dataset sleep-EDF-20 --max-mem 512 --log-id O --log-all,2025-07-23 11:45:31.141952,2025-07-23 11:45:36.500111,N1,EMG_submental,3,1,0.5,0.5,3,1,3,3,0.7,0.3,32,0.0005,1,1,15,"(1, 3)","(2, 4)",sleep-EDF-20,512,train_loss,True,"1. Branches=[[4, 9, 5], [8, 10]], Fitness=1.2377","2. Branches=[[10, 9, 7], [5, 2]], Fitness=1.2499","3. Branches=[[7, 13, 9], [4, 9, 5]], Fitness=1.2804"
17,ModelDictTestIII --batch-size 32 --lr 0.0005 --min-ks 1 --max-ks 15 --pop-size 3 --generations 1 --st-size 3 --hof-size 3 --cx-prob 0.5 --mut-prob 0.5 --sleep-stage wake --signal EEG_Fpz-Cz --dataset sleep-EDF-20 --max-mem 512 --log-id O --log-all,2025-07-23 11:45:36.862598,2025-07-23 11:45:42.785711,N2,EMG_submental,3,1,0.5,0.5,3,1,3,3,0.7,0.3,32,0.0005,1,1,15,"(1, 3)","(2, 4)",sleep-EDF-20,512,train_loss,True,"1. Branches=[[9, 13, 6], [15, 12, 3, 12]], Fitness=0.7669","2. Branches=[[12, 14], [4, 8, 3], [15, 8, 11]], Fitness=0.7739","3. Branches=[[10, 4, 14], [15, 12, 3, 12]], Fitness=0.7747"
18,ModelDictTestIII --batch-size 32 --lr 0.0005 --min-ks 1 --max-ks 15 --pop-size 3 --generations 1 --st-size 3 --hof-size 3 --cx-prob 0.5 --mut-prob 0.5 --sleep-stage wake --signal EEG_Fpz-Cz --dataset sleep-EDF-20 --max-mem 512 --log-id O --log-all,2025-07-23 11:45:43.149937,2025-07-23 11:45:49.820746,N3,EMG_submental,3,1,0.5,0.5,3,1,3,3,0.7,0.3,32,0.0005,1,1,15,"(1, 3)","(2, 4)",sleep-EDF-20,512,train_loss,True,"1. Branches=[[9, 3, 15, 8], [4, 12], [5, 5, 11]], Fitness=1.1764","2. Branches=[[4, 10, 8], [11, 9, 1], [3, 1, 12]], Fitness=1.1782","3. Branches=[[11, 7, 4], [9, 9, 7]], Fitness=1.1800"
19,ModelDictTestIII --batch-size 32 --lr 0.0005 --min-ks 1 --max-ks 15 --pop-size 3 --generations 1 --st-size 3 --hof-size 3 --cx-prob 0.5 --mut-prob 0.5 --sleep-stage wake --signal EEG_Fpz-Cz --dataset sleep-EDF-20 --max-mem 512 --log-id O --log-all,2025-07-23 11:45:50.174866,2025-07-23 11:45:54.422272,REM,EMG_submental,3,1,0.5,0.5,3,1,3,3,0.7,0.3,32,0.0005,1,1,15,"(1, 3)","(2, 4)",sleep-EDF-20,512,train_loss,True,"1. Branches=[[2, 4], [11, 13, 7, 9], [8, 8]], Fitness=0.9854","2. Branches=[[1, 13, 11, 2]], Fitness=1.0008","3. Branches=[[8, 8]], Fitness=1.0115"
